step,phase,action,reward,red_distance,green_distance,alignment,collision,done_reason
0,1,1,-0.1,-1.0,-1.0,0.0,,
1,1,2,-0.1,-1.0,-1.0,0.0,,
2,1,1,-5.1,-1.0,-1.0,0.0,,
3,1,2,-5.1,-1.0,-1.0,0.0,,
4,1,1,-5.1,-1.0,-1.0,0.0,,
5,1,2,-5.1,-1.0,-1.0,0.0,,
6,1,1,-5.1,-1.0,-1.0,0.0,,
7,1,2,-5.1,-1.0,-1.0,0.0,,
8,1,1,-5.1,-1.0,-1.0,0.0,,
9,1,1,-0.1,-1.0,-1.0,0.0,,
10,1,2,-0.1,-1.0,-1.0,0.0,,
11,1,2,-0.1,-1.0,-1.0,0.0,,
12,1,1,-0.1,-1.0,-1.0,0.0,,
13,1,2,-5.1,-1.0,-1.0,0.0,,
14,1,1,-5.1,-1.0,-1.0,0.0,,
15,1,2,-5.1,-1.0,-1.0,0.0,,
16,1,1,-5.1,-1.0,-1.0,0.0,,
17,1,2,-5.1,-1.0,-1.0,0.0,,
18,1,1,-5.1,-1.0,-1.0,0.0,,
19,1,2,-5.1,-1.0,-1.0,0.0,,
20,1,1,-5.1,-1.0,-1.0,0.0,,
21,1,2,-5.1,-1.0,-1.0,0.0,,
22,1,1,-5.1,-1.0,-1.0,0.0,,
23,1,2,-5.1,-1.0,-1.0,0.0,,
24,1,1,-5.1,-1.0,-1.0,0.0,,
25,1,2,-0.0023437500000000056,0.4226121,-1.0,0.01953125,,
26,1,2,0.66171875,0.40250465,-1.0,0.15234375,,
27,1,2,1.5015625,0.38193718,-1.0,0.3203125,,
28,1,2,2.30234375,0.36601913,-1.0,0.48046875,,
29,1,2,3.08359375,0.3553843,-1.0,0.63671875,,
30,1,0,36.174870485067366,0.3544009,-1.0,0.609375,,
31,1,2,3.66953125,0.3457875,-1.0,0.75390625,,
32,1,0,36.91932147145271,0.34222946,-1.0,0.74609375,,
33,1,0,36.69502040147781,0.37146467,-1.0,0.73046875,,
34,1,0,36.67370250225067,0.36791575,-1.0,0.72265625,,
35,1,0,36.804933899641036,0.33776322,-1.0,0.71875,,
36,1,0,36.777190619707106,0.33159313,-1.0,0.70703125,,
37,1,0,36.52171572446823,0.3592506,-1.0,0.68359375,,
38,1,0,36.409809643030165,0.36600682,-1.0,0.66796875,,
39,1,0,36.25687544941902,0.3614374,-1.0,0.6328125,,
40,1,0,36.37521987557411,0.31433102,-1.0,0.609375,,
41,1,2,3.6109375,0.30815095,-1.0,0.7421875,,
42,1,0,36.95822497606277,0.2992925,-1.0,0.7109375,,
43,1,0,36.779644244909285,0.28813365,-1.0,0.6640625,,
44,1,0,36.577340418100356,0.27390692,-1.0,0.609375,,
45,1,2,3.65,0.26387876,-1.0,0.75,,
46,1,0,37.16941809058189,0.23752263,-1.0,0.69140625,,
47,1,0,36.89070878326893,0.20342074,-1.0,0.6015625,,
48,1,2,3.6109375,0.19171855,-1.0,0.7421875,,
49,1,2,4.3140625,0.18346934,-1.0,0.8828125,,
50,1,0,38.30027764439583,0.16760072,-1.0,0.84765625,,
51,1,0,39.04087653160095,0.1640122,-1.0,0.9921875,,
52,2,0,-0.6,0.16667633,-1.0,0.94140625,,
53,2,0,-0.6,0.16871573,-1.0,0.0,,
54,2,1,-0.1,0.16510905,-1.0,0.0,,
55,2,1,-0.1,0.16468455,-1.0,0.0,,
56,2,1,0.0,0.16546904,-1.0,0.0,,
57,2,1,0.0,0.16560495,-1.0,0.0,,
58,2,1,0.0,0.16490604,-1.0,0.0,,
59,2,1,0.0,0.16589454,-1.0,0.0,,
60,2,1,0.0,0.16522107,-1.0,0.0,,
61,2,1,0.0,0.16522107,-1.0,0.0,,
62,2,1,0.0,0.16637307,-1.0,0.0,,
63,2,2,-0.1,0.16424677,-1.0,0.0,,
64,2,1,-5.1,0.1662077,-1.0,0.0,,
65,2,2,-5.1,0.16424677,-1.0,0.0,,
66,2,1,-5.1,0.16538742,-1.0,0.0,,
67,2,1,-0.1,0.16637307,-1.0,0.0,,
68,2,1,0.0,0.16637307,-1.0,0.0,,
69,2,0,-0.6,0.16720048,-1.0,0.0,,
70,2,1,-0.1,0.16597891,-1.0,0.0,,
71,2,1,-0.1,0.16672133,-1.0,0.0,,
72,2,1,0.0,0.16654429,-1.0,0.0,,
73,2,1,0.0,0.16654429,-1.0,0.0,,
74,2,1,0.0,0.16637307,-1.0,0.0,,
75,2,1,0.0,0.16654429,-1.0,0.0,,
76,2,2,-0.1,0.1643046,-1.0,0.0,,
77,2,1,-5.1,0.16637307,-1.0,0.0,,
78,2,1,-0.1,0.16538742,-1.0,0.0,,
79,2,1,0.0,0.16654429,-1.0,0.0,,
80,2,1,0.0,0.16637307,-1.0,0.0,,
81,2,1,0.0,0.16654429,-1.0,0.0,,
82,2,1,0.0,0.16672133,-1.0,0.0,,
83,2,2,-0.1,0.16524528,-1.0,0.0,,
84,2,2,-0.1,0.16690417,-1.0,0.0,,
85,2,2,0.0,0.16709279,-1.0,0.0,,
86,2,2,0.0,0.16709279,-1.0,0.0,,
87,2,1,-0.1,0.164195,-1.0,0.0,,
88,2,1,-0.1,0.1675291,-1.0,0.0,,
89,2,2,-0.1,0.164195,-1.0,0.0,,
90,2,2,-0.1,0.16728717,-1.0,0.0,,
91,2,2,0.0,0.16728717,-1.0,0.0,,
92,2,2,0.0,0.16748731,-1.0,0.0,,
93,2,2,0.0,0.16888161,-1.0,0.0,,
94,2,2,0.0,0.16954646,-1.0,0.0,,
95,2,2,0.0,0.1695435,-1.0,0.0,,
96,2,2,0.0,0.17088008,-1.0,0.0,,
97,2,2,0.0,0.17362316,-1.0,0.0,,
98,2,2,0.0,0.17779201,-1.0,0.0,,
99,2,2,0.0,0.18580905,-1.0,0.0,,
100,2,2,0.0,0.19924858,-1.0,0.0,,
101,2,2,0.0,0.21525799,-1.0,0.0,,
102,2,2,0.0,0.23281968,-1.0,0.0,,
103,1,2,1.1109375,0.2501999,-1.0,0.0,,
104,1,2,0.7203125,0.2666027,-1.0,0.1640625,,
105,1,2,0.27109375,0.28651354,-1.0,0.07421875,,
106,1,2,0.0,-1.0,-1.0,0.0,,
107,1,1,0.31015625,0.28486136,-1.0,0.08203125,,
108,1,2,0.0,-1.0,-1.0,0.0,,
109,1,1,0.290625,0.28568688,-1.0,0.078125,,
110,1,2,0.0,-1.0,-1.0,0.0,,
111,1,1,0.27109375,0.28651354,-1.0,0.07421875,,
112,1,2,0.0,-1.0,-1.0,0.0,,
113,1,2,0.0,-1.0,-1.0,0.0,,
114,1,1,-0.1,-1.0,-1.0,0.0,,
115,1,1,0.23203125,0.28872997,-1.0,0.06640625,,
116,1,2,-5.1,-1.0,-1.0,0.0,,
117,1,1,0.2515625,0.28734127,-1.0,0.0703125,,
118,1,1,0.70078125,0.26800185,-1.0,0.16015625,,
119,1,2,0.2515625,0.28734127,-1.0,0.0703125,,
120,1,2,-0.1,-1.0,-1.0,0.0,,
121,1,1,0.27109375,0.28651354,-1.0,0.07421875,,
122,1,2,0.0,-1.0,-1.0,0.0,,
123,1,1,0.2515625,0.28734127,-1.0,0.0703125,,
124,1,2,0.0,-1.0,-1.0,0.0,,
125,1,1,0.2515625,0.28734127,-1.0,0.0703125,,
126,1,2,0.0,-1.0,-1.0,0.0,,
127,1,1,0.23203125,0.2881701,-1.0,0.06640625,,
128,1,2,0.0,-1.0,-1.0,0.0,,
129,1,1,0.2515625,0.28734127,-1.0,0.0703125,,
130,1,2,0.0,-1.0,-1.0,0.0,,
131,1,1,0.23203125,0.28872997,-1.0,0.06640625,,
132,1,2,0.0,-1.0,-1.0,0.0,,
133,1,1,0.23203125,0.28872997,-1.0,0.06640625,,
134,1,2,0.0,-1.0,-1.0,0.0,,
135,1,1,0.2515625,0.28790277,-1.0,0.0703125,,
136,1,2,0.0,-1.0,-1.0,0.0,,
137,1,1,0.2515625,0.28790277,-1.0,0.0703125,,
138,1,2,0.0,-1.0,-1.0,0.0,,
139,1,1,0.27109375,0.28707665,-1.0,0.07421875,,
140,1,2,0.0,-1.0,-1.0,0.0,,
141,1,1,0.27109375,0.28707665,-1.0,0.07421875,,
142,1,2,0.0,-1.0,-1.0,0.0,,
143,1,1,0.27109375,0.28707665,-1.0,0.07421875,,
144,1,2,0.0,-1.0,-1.0,0.0,,
145,1,2,0.0,-1.0,-1.0,0.0,,
146,1,1,-0.1,-1.0,-1.0,0.0,,
147,1,1,0.31015625,0.2859965,-1.0,0.08203125,,
148,1,2,-5.1,-1.0,-1.0,0.0,,
149,1,1,0.31015625,0.2859965,-1.0,0.08203125,,
150,1,2,-0.1,-1.0,-1.0,0.0,,
151,1,1,0.31015625,0.2859965,-1.0,0.08203125,,
152,1,2,0.0,-1.0,-1.0,0.0,,
153,1,1,0.31015625,0.2859965,-1.0,0.08203125,,
154,1,2,0.0,-1.0,-1.0,0.0,,
155,1,1,0.31015625,0.2859965,-1.0,0.08203125,,
156,1,0,-0.6,-1.0,-1.0,0.0,,
157,1,1,-0.1,-1.0,-1.0,0.0,,
158,1,1,-0.1,-1.0,-1.0,0.0,,
159,1,1,0.0,-1.0,-1.0,0.0,,
160,1,1,0.290625,0.27856776,-1.0,0.078125,,
161,1,2,-0.1,-1.0,-1.0,0.0,,
162,1,1,0.3296875,0.27634218,-1.0,0.0859375,,
163,1,2,-0.1,-1.0,-1.0,0.0,,
164,1,1,0.3296875,0.27687544,-1.0,0.0859375,,
165,1,2,0.0,-1.0,-1.0,0.0,,
166,1,1,0.38828125,0.27434468,-1.0,0.09765625,,
167,1,2,0.0,-1.0,-1.0,0.0,,
168,1,1,0.38828125,0.27434468,-1.0,0.09765625,,
169,1,2,0.0,-1.0,-1.0,0.0,,
170,1,1,0.38828125,0.27434468,-1.0,0.09765625,,
171,1,2,0.0,-1.0,-1.0,0.0,,
172,1,1,0.4078125,0.2735032,-1.0,0.1015625,,
173,1,2,0.0,-1.0,-1.0,0.0,,
174,1,1,0.42734375,0.2726628,-1.0,0.10546875,,
175,1,2,0.0,-1.0,-1.0,0.0,,
176,1,1,0.446875,0.27182347,-1.0,0.109375,,
177,1,2,0.0,-1.0,-1.0,0.0,,
178,1,1,0.46640625,0.27098525,-1.0,0.11328125,,
179,1,2,0.0,-1.0,-1.0,0.0,,
180,1,1,0.46640625,0.27098525,-1.0,0.11328125,,
181,1,2,0.0,-1.0,-1.0,0.0,,
182,1,1,0.525,0.2684772,-1.0,0.125,,
183,1,2,0.11484375,0.28520343,-1.0,0.04296875,,
184,1,2,0.0,-1.0,-1.0,0.0,,
185,1,1,0.134375,0.28485963,-1.0,0.046875,,
186,1,2,0.0,-1.0,-1.0,0.0,,
187,1,1,0.1734375,0.28314838,-1.0,0.0546875,,
188,1,2,0.0,-1.0,-1.0,0.0,,
189,1,1,0.1734375,0.28314838,-1.0,0.0546875,,
190,1,2,0.0,-1.0,-1.0,0.0,,
191,1,1,0.2125,0.28144094,-1.0,0.0625,,
192,1,2,0.0,-1.0,-1.0,0.0,,
193,1,1,0.2515625,0.27973738,-1.0,0.0703125,,
194,1,2,0.0,-1.0,-1.0,0.0,,
195,1,1,0.27109375,0.27941546,-1.0,0.07421875,,
196,1,2,0.0,-1.0,-1.0,0.0,,
197,1,1,0.290625,0.27803776,-1.0,0.078125,,
198,1,2,0.0,-1.0,-1.0,0.0,,
199,1,1,0.31015625,0.27718946,-1.0,0.08203125,,
200,1,2,0.0,-1.0,-1.0,0.0,,max_steps
0,1,1,-0.1,-1.0,-1.0,0.0,,
1,1,2,-5.1,-1.0,-1.0,0.0,,
2,1,1,-5.1,-1.0,-1.0,0.0,,
3,1,2,-5.1,-1.0,-1.0,0.0,,
4,1,1,-5.1,-1.0,-1.0,0.0,,
5,1,2,-5.1,-1.0,-1.0,0.0,,
6,1,1,-5.1,-1.0,-1.0,0.0,,
7,1,2,-5.1,-1.0,-1.0,0.0,,
8,1,1,-5.1,-1.0,-1.0,0.0,,
9,1,2,-5.1,-1.0,-1.0,0.0,,
10,1,1,-5.1,-1.0,-1.0,0.0,,
11,1,2,-5.1,-1.0,-1.0,0.0,,
12,1,1,-5.1,-1.0,-1.0,0.0,,
13,1,2,-5.1,-1.0,-1.0,0.0,,
14,1,1,-5.1,-1.0,-1.0,0.0,,
15,1,2,-5.1,-1.0,-1.0,0.0,,
16,1,1,-5.1,-1.0,-1.0,0.0,,
